ratings,working_dates,review_headlines,review_links,author_job_titles,review_pros,review_cons
5.0,"Current Employee, less than 1 year",Great Company,/Reviews/Employee-Review-Accenture-RVW63154391.htm,"Apr 22, 2022 - Analyst",I love working here the people are great and I can see my growth in the company,I wish there was more support given to analyst when it comes to staffing
5.0,"Current Employee, less than 1 year",Marketing specialist,/Reviews/Employee-Review-Accenture-RVW63268886.htm,"Apr 25, 2022 - Marketing Specialist",none,none
5.0,"Current Employee, less than 1 year",Contingent worker,/Reviews/Employee-Review-Accenture-RVW63233845.htm,"Apr 25, 2022 - Content Moderator",Super easy job with free food.,Super repetitive! Not much opportunity for growth.
3.0,Current Employee,Good company for non-techies,/Reviews/Employee-Review-Accenture-RVW58332054.htm,"Jan 21, 2022 - Senior Software Engineer","- US MNC culture. People are polite and do hear your opinion (when they are in a good mood, that is).
- Management Consulting of Accenture is great. I've heard good stories about that vertical. Technical Consulting is usual service organization type.
- Project can be good, bad or extremely bad, depending on the vertical you are getting into. For instance, if it is Telecommunications, then expect rude bosses, low bonuses and crappy work; Banking is good, but comes with short shelf life; Healthcare & Insurance are going to be bureaucratic but with OK work. 
- Good company to travel abroad and around
- Salaries have become competitive lately due to high attrition","- Very watered down technical environment. Leadership and upper management are mostly non-techies so learn to explain your technical problems like you are explaining a 10 years old
- Kiss up and kick down culture, especially in lower ranks (below Senior Manager levels)
- As you climb up the corporate ladder, you'd be expected to work less technically, and more on sales and RFP (proposal) work
- Against all odds, if you stay techie and do less RFP work, promotions will be few and far between
- Manager/boss is everything in Accenture. Keep him impressed.
- Accenture HRs are all powerful entities. Never. Ever. confront an HR.
- Appraisals, promotions and moderations are all fixed. Managers target who is going to be promoted and who is not, regardless of your good work. Bonuses, however, depends on your work, but in big accounts they'll be rationed.
- Middle management in tech, especially in countries like USA and UK, are mostly south asians. They have their own code of life and work. Familiarize yourself with those if you need to rise."
3.0,"Former Employee, more than 8 years","Ingredient Rich, Assembly Poor",/Reviews/Employee-Review-Accenture-RVW60165761.htm,"Feb 23, 2022 - Managing Director","- Market-leading level of most / all talent sets imaginable -- mostly brought about by aggressive acquisition strategies, particularly in the digital space
- Some extremely caring and extremely intelligent leaders who have made peace with how to be successful despite the many obstacles and ongoing bureaucracy of org size 
- The new Droga-led direction of Interactive is encouraging but too early to gauge","- Darwinian experiment-like survival is an accepted part of company; this aspect is placed above and trumps any efforts at achieving a coherent company culture; this persisting ready/fire/aim, and ""acquire now/integrate never"" dynamic places the bulk of the pressure on managers and senior managers still aspiring to achieve the coveted Managing Director promotion; and once achieved, most discover the organizational goal posts have simply moved towards that of Senior MD; the money is ""just enough"" to stay for roughly half
- By any reasonable measure, and regardless of political leanings, new CEO and leadership has bizarrely over-indexed on woke stances and policy implementations to the detriment of client value, market impact, and shareholder value
- Significant % of senior-level leadership actively avoids doing work, instead favoring internal political gameplay (look busy, be unreachable, attach yourself to successful teams) instead of contributing tangible productive impact and influence over those efforts"
5.0,"Current Employee, less than 1 year","Great Company, Great People",/Reviews/Employee-Review-Accenture-RVW63086099.htm,"Apr 21, 2022 - Senior Analyst",Culture-empathic leadership and a bunch of high achievers.,"It's a very large company so getting lost in it is possible, especially for early career people."
5.0,"Current Employee, more than 3 years",Great Company,/Reviews/Employee-Review-Accenture-RVW62602303.htm,"Apr 11, 2022 - Infra Tech Support Senior Analyst","Healthcare
401k
Stock
Maternity/Paternity leave 
Growth
Budget for school/certifications","Contract work
The Talent Fulfillment Specialist do not assist with helping you find new projects 
Toxic managers are just moved to new projects instead of being correctly handled"
5.0,"Current Employee, more than 3 years",Great career flexibility,/Reviews/Employee-Review-Accenture-RVW62720975.htm,"Apr 13, 2022 - Security Consultant","The company has a very strong culture and acceptance of trying new things and leveraging your past experience to shift, if you so wish. Great technologies and spaces to be involved in and at mid to higher levels there is always ample room to find a niche to grow and own.",WLB can suffer as your progress; learn to say no and be effective at growing out of your current role
5.0,"Current Employee, more than 1 year",Great place to work,/Reviews/Employee-Review-Accenture-RVW62891315.htm,"Apr 17, 2022 - Software Engineer",This company will allow you to learn and help you grow. They will recognize and reward your efforts & talents. The work life balance is great and the culture here is even better!,"Can't think of any , it's the best company I've worked for"
4.0,"Former Employee, more than 1 year",Work satisfaction depends on the client,/Reviews/Employee-Review-Accenture-RVW63109384.htm,"Apr 21, 2022 - Customer Services Representative",Company perks from the client you work for,Pay was OK. Accenture should pay their workers more considering they have TOP SHELF clients.
5.0,"Current Employee, more than 1 year",Be Yourself and Grow,/Reviews/Employee-Review-Accenture-RVW63036050.htm,"Apr 20, 2022 - Consulting Analyst",none,none
5.0,"Former Employee, more than 5 years",Good Company,/Reviews/Employee-Review-Accenture-RVW62869067.htm,"Apr 16, 2022 - Tech Arch","There are lots of options for choosing career paths within the company.
Good management.","Lots of employees, you could end up being just a number if you don't speak up or/and apply yourself. You have to take initiative in order to move up."
5.0,Current Employee,Great consulting company,/Reviews/Employee-Review-Accenture-RVW63040024.htm,"Apr 20, 2022 - Senior Software Engineer",none,none
5.0,"Current Employee, more than 8 years",Great Place To Work,/Reviews/Employee-Review-Accenture-RVW63170163.htm,"Apr 23, 2022 - Human Resources",none,none
2.0,"Former Employee, more than 1 year",Beware of Accenture's corrupt culture,/Reviews/Employee-Review-Accenture-RVW62268517.htm,"Apr 4, 2022 - ",Potential to work with interesting clients,"Accenture's culture allows managing directors to keep their jobs by ""stealing credit"" for other people's work.  l'll explain.  If you are in a practice that has too many people and not enough work, some people will be laid off.  Let's suppose that you've created an opportunity with a new client.  A managing director that needs an engagement to keep occupied will take over the client and purposely abuse you so that you'll quit.  This clears the way for the managing director to replace you with a friend.  This is so common that I witnessed a managing director joke about how another managing director was ""very good"" at ""stealing credit"" for other people's work at a business dinner."
5.0,"Current Employee, more than 3 years",Great company,/Reviews/Employee-Review-Accenture-RVW63063365.htm,"Apr 20, 2022 - Consultant","great salary, get to try a lot of things","long hours, can be a lack of company culture from being so large"
5.0,"Current Employee, more than 3 years",Good culture,/Reviews/Employee-Review-Accenture-RVW63059541.htm,"Apr 20, 2022 - Consultant",none,none
5.0,"Current Employee, more than 10 years",Fair pay,/Reviews/Employee-Review-Accenture-RVW63099820.htm,"Apr 21, 2022 - Senior Manager",none,none
5.0,"Current Employee, more than 1 year","Great benefits, flexible and life balance",/Reviews/Employee-Review-Accenture-RVW62947525.htm,"Apr 18, 2022 - Business and Technology Consultant",none,none
5.0,"Current Employee, more than 8 years",Accenture,/Reviews/Employee-Review-Accenture-RVW63155192.htm,"Apr 22, 2022 - Managing Director",none,none
2.0,"Current Employee, more than 3 years",Not an Innovative Company,/Reviews/Employee-Review-Accenture-RVW62202925.htm,"Apr 3, 2022 - Senior Manager","Good pay, good benefits, lots of training opportunities, huge network to draw on.","Terrible at innovation, much better at turn-the-crank, keep-the-lights-on operations type work (or selling the same solution over and over, e.g., data migration). Looking for your next project is all about networking, so basically like looking for a new job. And while the individuals are generally good, the company as a whole is not (culture problems, lying about motivations, handling HR issues, etc.)"
5.0,"Former Employee, more than 5 years",Accenture work,/Reviews/Employee-Review-Accenture-RVW63047649.htm,"Apr 20, 2022 - Team Leader",none,none
4.0,"Current Employee, more than 1 year",Health benefits need to be improvised,/Reviews/Employee-Review-Accenture-RVW63298968.htm,"Apr 26, 2022 - SAP Basis Consultant",none,none
1.0,"Current Employee, more than 8 years",Overcrowded body shopping company in it's core with posh appearance and luxury talks,/Reviews/Employee-Review-Accenture-RVW63091560.htm,"Apr 21, 2022 - Analytics Associate Manager","* If you want to enjoy easy life, get decent pay, can sugar coat everything you say, be polite to Sr. Management, do what you're told.. then this is THE PLACE to be. Accenture will be a paradise for you. Stay here and retire with lots of benefits like discounted company shares, 401K etc. etc. 

* If you know how to work 'smart'. Be in the right place at the right time in front of right people and take the credits, you will go to senior management and leadership. Once you become Sr. Manager, your life is set. You have no targets, no obligations to fulfill. You can literally spend you days at the beach for next 10 years and retire with fantastic savings and benefits by the end of your career. But to get there, you have to do a lot of course!","I am obviously sharing my personal view and my perspective after working for 7 years here. I am writing things being unbiased and true to my heart: 

* In it's core, Accenture is a service-based, head-count based, body-shopping company with posh appearances and luxury talks about technology, data analytics, machine learning, automation and AI.

* At high level, Accenture is a company led by a CEO who clearly is a misandrist or more accurately, a female chauvinist. I'm all for gender equality. However, you can't penalize hard-working, talented, motivated men in the name of women empowerment. She did that and it simply created a toxic environment. Her new policies have caused a lot of friction and insubordination in every team across the org. Her impulsive and pre-matured decisions while making new policies clearly lacking proper strategy will cost everyone sailing in this gigantic, over-crowded ship. Not only employees but also their families suffer due to her recent changes.

* For talented, growth oriented, career focused people, know that Accenture is filled with old, tired, lethargic, non-upgraded leaders who are full of politics and ride their high horses. They are neither result-oriented nor growth oriented. They get their fat bonus and company shares and are happy playing golf on weekends.

* It's an over-crowded chaos. (700K+ employees worldwide). You being the primary controller of your destiny is a far fetched idea. 

* 5% of people are those who actually work and earn the bread for the company and 80% are unproductive leads, Managers, Sr. Managers, leaderships, HR overheads, process facilitators, talent specialists, travel agents etc.. who do less than a post-man and just send e-mails from end point to other. Yes. They'll take credit for sure. Rest 15% are floating pool who keep getting hired (with anticipation of new projects) and fired (when the new projects aren't signed)

* Heavily hit by recent attrition trend. I'm not kidding but literally there are more managers than workers. Work of 1 person is showcased by 10 people as 'their' work in 10 different places. 1 person had one career-counsellor manager, one project manager, HR manager and one people manager and sometimes an onshore and offshore manager! So totally 4 to 5 managers for 1 worker! This is REALITY. I am not joking. You are better off free-lancing than being here. At least there, you will be in control of your actions and consequences. 

* Company talks about 'equality' but higher positions get business class treatment and lower position gets economy class treatment. Lower positions are shown their place even for basic social necessities like health insurance. A senior official who can afford more gets higher coverage for less cost but a fresher gets less coverage for high premium! So much for equality! 

* All in all, it's a good pit-stop destination if you're a fresher. If you are serious about learning and growing, stay away. It's a TRAP. Once you spend more than 3 years here, you are stuck for lifetime! You won't be up-to market standards and won't have latest skills and hence can't jump this toxic org. 
 
* Special mention to senior managers from 'Indian-origin' and their hierarchical, age-old mindset of boot polishing!. I would stay as far away as possible. They bring poor people from third world countries to the US with high aspirations and promises, suck the life out of them and use them until they can take the 'credits' but also expect them to be 'grateful'. They are thrown away if they ever ask for good bonus, fair rewards or recognition. (of course like any other IT company). So, most of the people you would interact on a daily basis are passive aggressive, stressed, poor, low-self-esteem people who are probably struggling with a side hustle along with their full-time job. You would initially get a over-humble response but later regret being in this org. (happens all the time in every project) 

* Basically, everyone I've met here is unhappy. But they put up a big smile cuz they have to!. They have given a part of their life for accenture and now they want to sit back, relax, attend meetings, talk about their cute dogs and exotic cuisine and have their pay-checks coming. So, imagine your fate if you actually want to learn and grow! 

* Diversity is highly advertised but followed only on postures and bill boards. Institutional racism is clearly visible and felt but of-course as it happens to only non-privileged people, everyone would say it's not real and just a mind-set.

* If you are in the US, if you're an out-sider, you get condescended by the locals. If you're a local, you get to work with people who know nothing about US life or work culture. It's a thorn with pointy end on both sides! 

* The list goes on if I have to rant and nit pick; bottom line is. In every service-based org, your experience and luck depends on what kind of project and which team you'll end up after a year or 2. 
Sometimes it can be good but most of the time, with a mammoth sized org which keeps acquiring new orgs and builds toxic work culture, it's not good for talented people. 
Use the points above and choose wisely!"
5.0,Current Employee,Good,/Reviews/Employee-Review-Accenture-RVW63109731.htm,"Apr 21, 2022 - Accenture Senior Analyst",none,none
5.0,"Current Employee, more than 10 years",Great place to start and grow career,/Reviews/Employee-Review-Accenture-RVW58047668.htm,"Jan 17, 2022 - Data Management Senior Manager","Managers, Sr Managers really care about the growth of the people on their teams
Great place to make connections with people 'going places'
Work with the biggest global clients and their biggest hardest problems
Lots of opportunities to learn with free trainings, certifications, etc. even if it is not directly related to you work
If you get on a good project at a good client you will look forward to going to work every day
Pre-COVID (and hopefully post) if you like to travel, plenty of opportunities for that; but also if you want to stay local there are lots of good clients in Philadelphia area","Get lost in the 650,000+ employees; hard to consistently make good decisions about people when there are so many of them
The performance / rewards cycle is slow and can not react to market; a lot of good people leave
Can get pigeon holed if you stay in the same client / area of business for too long (move around; get lots of different experiences!)
Pay can stagnate compared to market
The luck involved (sometimes) of getting on a good project/client in the right role"
4.0,"Current Employee, less than 1 year",Good on paper,/Reviews/Employee-Review-Accenture-RVW63247676.htm,"Apr 25, 2022 - Apprentice","Great resources
Good inclusion
Great morals
A lot to learn and grow","Lots of travel
You get pigeonholed in an area pretty quickly and it can be hard to get out of the sector if you dont like it."
5.0,"Current Employee, more than 3 years",Wonderful place to work and grow,/Reviews/Employee-Review-Accenture-RVW62827210.htm,"Apr 15, 2022 - Consultant","Learning opportunities
Pay
Support and benefits","like any consulting job, can be stressful when selling projects."
5.0,"Current Employee, more than 5 years",Review,/Reviews/Employee-Review-Accenture-RVW62885188.htm,"Apr 17, 2022 - Applications Development Manager",none,none
3.0,"Current Employee, more than 5 years",Great place to work if you like a fast pace and can tolerate unethical managers,/Reviews/Employee-Review-Accenture-RVW62744005.htm,"Apr 13, 2022 - Digital Marketing Consultant","Great pay
Great stock benefits
Great 401K matching
Great training options
Awesome portability - can always work from home
You can decide how much or how little you want to travel
Decent work/life balance if you set your own personal boundaries (also depends on your manager)","Senior leadership is incentivized by the amount of sales they make. Accenture's prices are HIGH compared to other consulting firms, so senior management often sells very intense scopes of work on very short timelines and with understaffed teams to be competitive with other options and sell their work. You get stuck on an over-worked team. They also use you for your low rate if you show you can perform at a higher level - AKA if you're a consultant that can manage project delivery, they'll use you to do it - but you won't get paid for it or won't get promoted. Or even worse and in my case, you sell work, and you don't get the commission - the leaders who did nothing get the commission. The promotion process is also very intense and you have to do a lot to stand out to leadership at such a big, fragmented company. You also get very minimal PTO and holidays and have to use your PTO when you're sick - no sick days. The main skills you learn are how to deal with ambiguity, how to communicate, how to build great power points, and how to use critical thinking skills. You rarely get depth of knowledge in a field, making it difficult to exit. Accenture is a big ""talk the talk but doesn't walk the walk"" company when it comes to its values. It's great in theory but everything depends on upper leadership - and upper leadership cannot receive upward feedback that feeds into their evaluations."
4.0,"Current Employee, more than 5 years",Excellent Culture and Growth Opportunities,/Reviews/Employee-Review-Accenture-RVW60798093.htm,"Mar 8, 2022 - Senior Strategy Consultant","Ability to work across multiple disciplines and technologies to build marketable skills, teams are collaborative and maintain a strong competitive nature to deliver excellent work and win new business via a team mentality vs. what's in it for me, inclusion and diversity is in the firm's DNA from the top down, women in tech well supported and celebrated, adherence to core values is prioritized and expected, endless opportunities to grow and move around to various clients and projects, mentors to help you along the way, overall excellent work environment and talented people who respect and support each other","work life balance is a challenge, pressure to remain on a billable project and find a new role each time a contract ends can be difficult (on the federal side), compensation not as competitive as it is on the technology side"
5.0,"Current Employee, more than 5 years",Great place to work,/Reviews/Employee-Review-Accenture-RVW62438157.htm,"Apr 7, 2022 - Specialist","Constant guidance from leads and leadership to help you grow in your career. 
Ability to move around to work in different organizations in the company. 
Great, inspiring, family oriented and open-minded people work here.","Depending on the organization umbrella you are in, it can be hard to advance to the next level"
5.0,"Current Employee, more than 10 years",Awesome company to work for,/Reviews/Employee-Review-Accenture-RVW61346241.htm,"Mar 17, 2022 - Senior Manager","What has kept me at Accenture 10+ years is the Opportunities they offer. As a global company, there is always something new. Your project can change much more often than other companies, and that keeps me challenged & continuously learning. I have been able to accumulate tons of experience, all with the same company. They look for similar skills that can be applied in different areas, which allows for that growth. Most companies will not do that, and expect you to have exact experience to try new roles/areas. But with that old school methodology, you'd essentially have to start at the bottom with any change of industry. At Accenture they look for the likenesses they can apply for you to be successful in the new role, which is quite different. I also love their initiatives and engagement events aimed towards Inclusiveness & Diversity. It's a real thing at our company, and I see the programs and the initiatives to push for equal opportunity.","The con's that people may see with our company are the immense amount of learnings required. Accenture is very big on continuous learning and ensuring their employees are up to date on Technology and the 'next big thing', like AI and Block Chain. That may not be a priority for everyone in the world and that may not fit well with a person's mind set when looking for a job. But it's important for all of us to stay relevant in our industry and we know we have to continuously grow with our skills and ideas. It is something I explain to anyone I interview externally."
5.0,"Current Employee, more than 5 years",Good place to work,/Reviews/Employee-Review-Accenture-RVW62802708.htm,"Apr 14, 2022 - Customer Service Representative","Been here for 5 years, always feel appreciated.",Schedule changing is a hastle.
5.0,"Current Employee, more than 3 years",Great work culture and benefits,/Reviews/Employee-Review-Accenture-RVW61336700.htm,"Mar 17, 2022 - Management Consulting Manager","- Colleagues are collaborative in an environment that encourages diversity& inclusion
- Flexibility to be at client site or work from home is available and there are no issues around hours you work as long as you deliver for most projects
- Employee Stock Purchase Plan 
- Sponsored trainings and certifications for cutting edge technology",- Some projects can require extremely long work hours and even the flex time does not make up for the exhausting hours but this generally occurs with poor planning (not that often)
5.0,Current Employee,Great place to start your career,/Reviews/Employee-Review-Accenture-RVW61975199.htm,"Mar 29, 2022 - Consultant","- talented colleagues
- great benefits (401k matching, PTO, etc.)
- can find interesting work if you network and work hard
- growth and learning opportunities","- hours can be long, though this is dependent on project/practice
- the firm will staff you based on market needs, not your preferences, so it can take time to build the network and brand you need to move to work you'd rather be doing"
5.0,Current Employee,Great company,/Reviews/Employee-Review-Accenture-RVW62758981.htm,"Apr 13, 2022 - Technology Strategy and Advisory",none,none
1.0,"Former Employee, more than 5 years","The talented leave, the fake-it-until-you-make-it thrive",/Reviews/Employee-Review-Accenture-RVW60110925.htm,"Feb 22, 2022 - Manager","Schwag, brand name, wonderful C-Suite, especially the CEO, CHR, CIO, CTO and General Counsel.","People ALWAYS taking credit for others' work (and getting applauded for it even after found out)
Sr. Managers who step on the back of others to eventually rise to Director
Politics, politics, politics
Drama, drama, drama
Good work means more work
Great relationships mean fast promotion
Diversity is not real when people who face race based incidents are required to work and when minority leaders make up lies about race based incidents while at the same time when people that report to them actually have physical or other proof of race based incidents, they are expected to ""just get over it"" and that ""burn out isn't real"""
4.0,"Current Employee, less than 1 year",Good company so far,/Reviews/Employee-Review-Accenture-RVW62397956.htm,"Apr 6, 2022 - Sales Development Representative (SDR)",17 PTO days. Work from home. Pay is competitive. They don't skimp on training. Quarterly and monthly bonuses.,"Management seems to have their favorites, so moving up in the company isn't as easy as they make it seem. Too many daily changes to the way things are to be done. Going through a merger right now, so there are a lot of challenges during the transition. They expect the same production even with all the moving parts of the merger and training."
4.0,Current Employee,"Great opportunities, little standardization",/Reviews/Employee-Review-Accenture-RVW62894920.htm,"Apr 17, 2022 - Management Consultant","near infinite industry/function/tech opportunities. massive client network. friendly and intelligent co-workers, great work-life balance.","Experience will be different per project due to little standardization/formal Accenture methodologies and best practices being applied on projects, despite many already defined. At the mercy of the project lead."
5.0,Current Employee,Good to join,/Reviews/Employee-Review-Accenture-RVW63300294.htm,"Apr 26, 2022 - Security Analyst",none,none
5.0,"Former Employee, more than 10 years","Great Career, Until Cuts Come",/Reviews/Employee-Review-Accenture-RVW37346661.htm,"Oct 19, 2020 - Managing Director","Highly competitive environment , talented people, well run business, financial strength of the company, good pay","Demanding work schedule, heavy travel, bureaucracy, massiveness of the company"
5.0,"Current Employee, more than 1 year",Alot of Jobs One Home,/Reviews/Employee-Review-Accenture-RVW8020149.htm,"Sep 21, 2015 - Infrastructure Manager","There are a lot of pros working for Accenutre. They have great career opportunities, a never ending supply of interesting work, competitive compensation, wonderful benefits, great people, wonderful training programs, a tremendous number of brilliant professionals in their fields ready to help, and great core values.",This is not an opportunity for those that do not want to work. At Accenture everyone has a load of work to do and often times under very tight customer time lines. It is a challenge that I enjoy but many might find it stressful.
4.0,"Current Employee, more than 8 years",Heart is in the right place,/Reviews/Employee-Review-Accenture-RVW63028788.htm,"Apr 20, 2022 - Digital Strategy Senior Manager","Despite many career ups and downs, I mostly love the people and culture at Accenture. They a progressive company that sets strong I&D goals and strives to create a great place to work. Part of consulting is constantly learning, developing new skills and getting new experiences. Work life balance is somewhat prioritized. I never work on vacations, but there are definitely grinding weeks. I think Accenture is always striving to be the best that they can be, even if they don't always get it right.","It's a huge company and sometimes it's easy to feel a little lost, especially when your network leaves to go elsewhere. There are times when it gets exhausting to be constantly needing to become an expert in a new thing, whether you have any interest in it or not. There are always difficult clients and while leadership will mostly have your back when working with a difficult or unreasonable client, they will often side with the client to maintain good relationships."
5.0,"Former Employee, more than 5 years",Great company to work for to advance in your career,/Reviews/Employee-Review-Accenture-RVW63285673.htm,"Apr 26, 2022 - IT Analyst",If you apply yourself you can advance up to manager and the sky is the limit.,There can be a lot of travel involved so it can sometimes be hard to have a good work life balance. There are positions where travel is not as much so take time to consider how important it is to be home with family.
3.0,"Current Employee, more than 1 year","Learning opportunities, competitive pay, networking, depends on the person",/Reviews/Employee-Review-Accenture-RVW63239805.htm,"Apr 25, 2022 - Technical Analyst","Competitive pay and benefits and time off
Lots of learning opportunities
Lots of potential for skills growth
Lots of opportunities to meet people and network
Lots of different projects to work on
Lots of internal initiatives and clubs and volunteering opportunities","Your experience will depend a lot on your project and where you work.
Culture is very corporate, they want extroverted, career hungry people, so if you are looking for something more relaxed this may be a conflict, though it does depend on your role / supervisors. Its important to never stop learning and never get complacent, this is advice for anywhere though. 
Not a lot of job security if you are not in management. 
Easy to get pigeon holed into one role / technology."
2.0,"Former Employee, more than 1 year",'Lord of the Flies' meets Ponzi Scheme,/Reviews/Employee-Review-Accenture-RVW60262930.htm,"Feb 24, 2022 - Consultant","Some projects have great visibility and give you the opportunity to travel internationally at a young age. If you get tapped internally you can spend time on cool projects and learn a lot.

There are very cool sides of Accenture that are worth joining -- Accenture Digital, Fjord, Accenture Interactive.","Long time's spent on the ""bench"", waiting to get called on projects. You would wait 3/4 months waiting for a project, but interviewing for new projects. Management gives no clear guidelines for skills you should be picking up to make it easier to get slotted for projects. In my starting vlass, most analysts were given projects where they mostly sat all day and did nothing.

Projects and Roles are found via interview process. You need to interview internally at shipper for roles, creating a lord of the flies type situation. Where everyone is competing, and networking all the time to get the best roles. But when you find a good role and are accepted for the role, you would often times be pulled from the project last minute because an MD had a 'pet-analyst' they were looking out for and would staff them instead.

The guidance was very unclear and unstructured. Projects are sold to internal employees as HL strategy projects, but are mostly copy-paste implementation solutions for SAP, Oracle, Salesforce, etc. Moreover, it's downright impossible to get off of projects, you could be stuck for 6-12 months in a clerical role.

If you're looking to build skills in consulting, it's only ""good"" by name itself, but overall think I would have preferred to go to a startup, or different firm."
5.0,"Current Employee, less than 1 year",Great company,/Reviews/Employee-Review-Accenture-RVW63058026.htm,"Apr 20, 2022 - Management Consulting Analyst",There is a lot of room to grow and explore your interests with each project you join. Management is really interested in helping you grow and develop your skills.,I wish Accenture put more effort into helping teams in remote projects develop relationships. Monthly lunches should be encouraged in projects especially if they're remote and team members rarely speak to each other besides giving work updates.
