PostDate,PostText,PostLikes,PostComments,PostShares,PostImages,PostArticles
ArotsodnepSM08tt9fch1t5f  lA3ru2i9tl1034 1:ugp00a 41fu,Our Digital Business Integration MD Mehmet O. helps businesses bloom with his work in the cloud. Read more about Mehmet's role and how you can help solve complex client challenges. https://accntu.re/387HfHD,76,none,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/278399356_10166147367385374_5101349674140749515_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-5&_nc_sid=9267fe&_nc_ohc=kDIsVVbr_I8AX9GY5Xh&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8k9ljfKxtwa7seuhakgd8eMj5mosRAU_yNikD-PzaLYQ&oe=626EE3E5,none
AorsdnoSpetla461ihml0M16u8 37:r4ft 7au 7a pt047i243P,"Welcome to the ""#Metaverse Continuum”—a spectrum of digitally enhanced worlds, realities and business models poised to revolutionize life and enterprise in the next decade: https://accntu.re/3JUZCxy #TechVision",182,8 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/278468078_10166145881060374_4768139857768764833_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=evWYECxpwF4AX-PTQZj&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8S3vE8Rxi5vsddM-J6PJZg7qwqeZwl4NJnBh1j09AUXw&oe=626E0F49,none
AorsdnoSpetla461ihml0M16u0 29:r4ft 7au 7a pt047i043P,"From collaboration to innovation, the #cloud can help your teams do even more. https://accntu.re/3wLGyhD",113,5 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/278199817_10166143578585374_2683947904798868641_n.jpg?stp=dst-jpg_s960x960&_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=cOuh50FQXEsAX-Dt_Wo&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-VetbH5KObMYbS1njvMuzKWFECagH4mQBXB67JCgGBfA&oe=626E4AD2,none
AorsdnoSpetla461ihml0M16u3 12:r4ft 7au 7a pt047i043P,"Over the past eight weeks, we've been recognized as a Top 10 Great Place to Work in six countries (and counting!). Notably, #3 in Argentina, Top 10 in Brazil, #5 in France, #9 in Japan, #3 in the Philippines, and #6 in the United States, as well as recognition in Greater China: https://accntu.re/3Juhsq4 ","accenture.comGreat Place to Work | Awards and Recognition for AccentureSee our accomplishments as a global leader, great employer and corporate citizen, as recognized by respected organizations around the world.",36 Comments,129 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fprod2-sprcdn-assets.sprinklr.com%2F50493%2F6dd95cfd-5ba9-478b-9853-fb88a12131d8-562401971%2FLinkedIn-Facebook-Leader-Socia.jpg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQHfYgxK95dIWOWb,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3Juhsq4%3Ffbclid%3DIwAR2DwAMvxYluTDzJLlzUSpxiNKWpynTZE6tF1g4YY3buXPWCFdrUmhy9fd8&h=AT2pJqs9CtEi2s5ESxlzRyTejNXpb8Pj-ewPCCANxgSm4gZouaDLgnfNSHt3aicC9IH4wOMDnvk9-tqEq5o7q5em-ygzONuMyTvSunQAJsL0BgkzEiShC1qVBSXFx7ql08I6&__tn__=H-R&c[0]=AT1rh0PUwwmTUJ0EpZNcxQuGI7oFYVEMR_VLQQINfXEeifJOs2hXaB3t5NhzvdEuWelwdNlgm-3UJ0s-jfK5JW27J4h7HHKtEH1XaPno6RT7GgSLvmcwcx_3UcEN0CT4NMBctK78H2Ig5tU81zlELdiDqDR_9Rh5XEQHSD3vI-eJbMtY
nedopoSstr1 8Aic8302cf7t  M21lh 7hpa89i:30riP7374,"From collaboration to innovation, the #cloud can help your teams do even more. https://accntu.re/3IOjtxc",118,7 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/278113073_10166130072290374_4981668614442082412_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=8iDykY0dbq8AX80ydas&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_n7FHXCDvZGjNVrmnwT1T09kbAqoxHDDmMCRdFpv0kAw&oe=626D5BDF,none
nedopoSstr1 8Aic8302cf6t  M21lh 7hpa89i:92riP7474,It’s time to think about service in a different way. To embed service capabilities and skills throughout the front office. To transform service from reactive to regenerative. To use service to create unprecedented potential for your organization.,121,2 Comments,4 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/278041823_10166127755760374_453680877315628700_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=ebbrRPCJWSEAX-wGEZn&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_tPZYkmdzc6EW0fAQrkHYkbT7OTbZ8pXS3iySP8b2cKQ&oe=626DA44B,none
nedopoSstr1 8Aic8302cf5t  M21lh 7hpa89i:62riP7574,The  key building blocks of the #Metaverse Continuum that every leader needs to know. Find them in #TechVision 2022: Meet Me in the Metaverse  https://accntu.re/3uxHbZk,,6 Shares,none,none,none
ooSnrtsedpfrAi3ilP  60u6ai4c4i4:lt1g38p 3 g706m4M,Human ingenuity + cutting-edge technology = a new era of transformation. ,accenture.comRadically Human Book | AccentureHow new technology is transforming business and shaping our future. Read more.,none,none,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20220217T225813Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2FRedesign-Assets%2FDotCom%2FImages%2FGlobal%2FGeneral%2F132%2FAccenture-Social-Share-Metaverse-1200x628.jpg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQHK926plufKAh-y,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3JCXeeF%3Ffbclid%3DIwAR3ZQ7DEYt_VzI8skTRHHOBZTyaLm5xdWonKNltN8_e4hUCl_LnQln2GQTM&h=AT3tnkDFFkr7osViysMEmadHE8hu7HNHjmQHCI1v-NAq6tBcZoLMykTgYWkQCvLOtGXQzkoey4m9uSRup2eyiB-sw-9L5XDO0yCsMzG8hVdIQ-X0H-6hmyWbCXJBiNfaZFbp&__tn__=H-R&c[0]=AT1_ilgWkq4JEoRcghGdXB5YMHlt20dJiCbhbgicPSfI7KaAmiNmVofadeZmlByx2NhJoA4xV4XjSkaLqr4Z0S8kIdJ40CfOVIE4yMhT-UrHVAbje-dW2c4zmeQJI76617IstnoWYNix4dWTRyp7gt_j0OlYTXtRjvWyycR2KkhTuTt4
ooSnrtsedpfrAi3ilP  61u3ai1c4i4:lt1g35p 3 g706m4M,"Welcome to the ""#Metaverse Continuum”—a spectrum of digitally enhanced worlds, realities and business models poised to revolutionize life and enterprise in the next decade: https://accntu.re/3tzYE3T #TechVision",120,2 Shares,none,none,none
AestpdooSrna A0c5 6u6001 rp1gil 6l1u3t:0tM3cihhfg1l1,"We believe neurodiversity is one of our superpowers. In recognition of #WorldAutismAwarenessDay, three colleagues share their thoughts on autism acceptance at work and in their communities: https://accntu.re/36KCR0P",accenture.comAutism Acceptance | AccentureLearn about our colleagues' experiences with autism and their insights into how we can promote equality and inclusion while valuing our differences.,18 Shares,none,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20220331T012824Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2FRedesign-Assets%2FDotCom%2FImages%2FGlobal%2FGeneral%2F136%2FAccenture-Autism-Social-Share-1200x628.JPG&cfs=1&ext=jpg&_nc_oe=6fff3&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQG_NFFZhPnlbsGm,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F36KCR0P%3Ffbclid%3DIwAR0wzPFO-ONX3OKtRK1AcHVeC5gCZlzliWeJOya_ycJXnoV1FzHdL3K9n98&h=AT3lLFtpXS_J1n4blf5EKp6z_jUGVYKLhLUbGUwi5D6bGHcR2YI0kHwMXvh1sjCHbUXLzyQH5F5xG3a4YajYoQbQxYMwQmV3rYggCITkLBruJV1dsibiX1ATc4tOM_6r-NrW&__tn__=H-R&c[0]=AT1zzNo3G7wgL409S9xGH9DcgaUrwhcKj4H0T_WF01AaAboQ365e7SeJ3nrRi_fSEykBDAM92WYe3VuTSIc5UJVGmb9YJFRAjkmENi0ZoYds-_jJPcCC6uzMjdmJmoQRKq4Rex1H_VX8jdnBtvUe6N9j_cvjFkzD7Aa_PVqxiiwm9IU6
MndteposSrol 4cha41a 61Mc6 t090f3l :5A1l1l6h1ra9i0tua5,Visibility matters and visible leadership is powerful.,161,4 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/277586010_10166111654545374_4054603260221659550_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-5&_nc_sid=9267fe&_nc_ohc=QMnQ4Z4IDK4AX_-vUTD&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_nofutk2V3fFs1GDXEfarlHhXdZzfJNMyPrFNY4usEAQ&oe=626ECDE0,none
MotsondrSpePcc5agul 97mali65r2073 3 h4g1 065Mata96:1,Your business has dreams. Bring them to life with our #CloudFirst solutions. Take the world by #cloud. https://accntu.re/3iAsSgU,,9 Shares,none,none,none
MotsondrSpePcc5agul 97mali55r2013 3 h4g1 065Mata96:1, Hear how we're helping Climeworks scale its technology—and speed up efforts to remove carbon from the atmosphere: https://accntu.re/3wH3TAK,,1 Comment,2 Shares,none,none
odretnsSopg4h39  0cr:Mtf14u49P2a2 64fa3gih0 tMl3c8f,The #metaverse is becoming less about fantasy  and more about spending time with people in a virtual space. See how brands are integrating: https://accntu.re/3qtHVgV #FjordTrends,125,1 Comment,5 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/276293072_10166106900265374_3223858418520160409_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-5&_nc_sid=9267fe&_nc_ohc=62adkjpQ2EgAX_f51Sy&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9Gkfny64johpfKbl6KjnVkme5g4hLgC_iG4gXdYm24cg&oe=626E146E,none
odretnsSopg7h39  0cr:Mtf14u18P2a1 64fa3gih0 tMl3c8f,"We have reached a new era of transformation. One where even in a future of AI, people—not algorithms—will be the reason most companies succeed. ",,1 Share,none,none,none
ooSnrdspet5ium3 f03fam06c4c8lu2i1mMth5r129,It's time to rethink everything you think you know about the #metaverse. Our annual #TechVision report explores how it's transforming businesses now—and what's next: https://accntu.re/3th2vD4,204,22 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/277308696_10166096294405374_4793013027612334729_n.jpg?stp=dst-jpg_s960x960&_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=MDH24JOpXdMAX8z-lBK&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_rNA3uOiRviYDJGaA25LTGNaHCKq46gojfjOk9rTj1Pw&oe=626E6592,none
tSnposredoaal424Mhh14f1h1c0f0494 af5ccmrhc,63% of CEOs say that difficulty measuring #ESG data is a barrier to achieving #sustainability. Find out how to set targets and build a clear plan. https://accntu.re/37ElrDo,,4 Shares,none,none,none
tSnposredoaal423Mhh14f1h1c0f0494 af5ccmrhc, Hear how we're helping Climeworks scale its technology—and speed up efforts to remove carbon from the atmosphere: https://accntu.re/3we1hds,,2 Shares,none,none,none
tSnposredoaal422Mhh14f1h1c0f0494 af5ccmrhc,"This is a moment of truth for technology and for people—where companies that fully embrace their newfound power to innovate with cutting-edge, human-centric technologies will gain a competitive edge.",accenture.comRadically Human Book | AccentureHow new technology is transforming business and shaping our future. Read more.,4 Shares,none,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20220217T225813Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2FRedesign-Assets%2FDotCom%2FImages%2FGlobal%2FGeneral%2F132%2FAccenture-Social-Share-Metaverse-1200x628.jpg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQHK926plufKAh-y,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F34XX5Ds%3Ffbclid%3DIwAR2bSj8f-z_AG0SLY2B1cPZgT7E6eOQdAv7EAOmKR6ZSG_9bMs-CcXx_c2I&h=AT3bfjnFeGhvn5egSV2cEiVQBGqcIkfN3YR68ARfB4YiuaX1YEEo0ONUoHSlc28MZK2nEqqWqIQEgLssT9OXQT2Z_FbS3XH2wjojRSlNgTUw1JPhQsrFBwWIcfUj6pRz-Daz&__tn__=H-R&c[0]=AT3ShsGHDKHkNeXP4wUIbhOAUAuyf50aKSc8d4zJHVcO8VTYQ043JnsMzrZlbE2Ww6ocVSGy9jNJDN-p7bmXuy7xhvm-IZqcw33yvVOoWdnGwIDFhYH5QeiSiu3s2qTBIz9L7TcPWpnL_by5gdlLxC90x-ZzNu5eGAzDiBpYrWnzl2ZR
MtroenSpodsmt7rgh0ctf1l182c0 3210lhth9l3a3a,"Today, we join together worldwide to observe the International Day for the Elimination of Racial Discrimination, but our efforts toward racial and ethnic equality continue tomorrow—and every day after: https://accntu.re/3woY8ri #IDERD #LetThereBeChange",199,6 Comments,12 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/276260116_10166085815325374_8442070751408952460_n.jpg?stp=dst-jpg_p526x296&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=mIO5IrQ6GC8AX9PfKvV&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_yLAq0KtgPA9I8ohzEdy2PevW_NLgwO2ZkHjHoS1u6EQ&oe=626E4821,none
MtroenSpodsmt7rgh0ctf1l181c0 3280lhth9l3a3a,"The #metaverse is generating hype, excitement, confusion and skepticism—and many organizations are taking a ""wait and see"" approach. But, says our Paul Daugherty, you procrastinate at your own peril: https://accntu.re/3tkgM1B",188,3 Comments,6 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/276323621_10166078500335374_834836327435663380_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=9267fe&_nc_ohc=VrxQ9a3Fr5gAX8fIJZP&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-2YgruXa5Gum4lJnNo6gCaK3vXlZqEDihuvLxr2lxCLA&oe=626E4594,none
MtroenSpodsmt7rgh0ctf1l181c0 3270lhth9l3a3a," Is your company on track to meet net-zero targets? If not, here's how you can create a strategy for #sustainable value. https://accntu.re/3CPsm85",,2 Shares,none,none,none
sSrnodoetptc1hhu205211M5ft 5a01h3r0cmtgfct, Our annual #TechVision trends report arrives next week. Sign up to be one of the first to get it in your inbox: https://accntu.re/3MHddu7,229,8 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/275714277_10166059641770374_2644821073412724364_n.png?stp=dst-png_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=pWg4wmNnpY0AX_8mSgi&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8PkGMOEMaUZw4mTtWEDCTYltM8rRdfhIh4yhx8RR-jlg&oe=626F4739,none
sSrnodoetptc1hhu205201M5ft 5a01h3r0cmtgfct,"Dr. Isi Idemundia — an #AWS Architect, teacher and mother.  Read her incredible story + learn how you can work like Dr. Isi: https://accntu.re/3I1Oe0W #CareersAZ",,6 Shares,none,none,none
tdpnesrooSl25ca2hrgFgrau993e 1c07abuyt57f1,Our incredible people follow their purpose to make a lasting impact. Find your next career opportunity and explore our stories of change from A to Z. https://accntu.re/3gMS3vR #CareersAZ,accenture.comTechnology A-Z Career Opportunities | AccentureJoin Accenture's incredible people who are combining their ingenuity with technology to solve some of the world's biggest challenges. Learn more.,5 Shares,none,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20210827T230650Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2Fnext-gen-8%2Facn-career-acceleration-case-study%2Fimages%2FAccenture-Careers-A-to-Z-Featured-2.jpg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQFXDlgzY4SChbU1,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3gMS3vR%3Ffbclid%3DIwAR3V5bbSsMcWadU_gxeDZnRwwFPd5ExhyYezq8Z5wqDBjoVUqQjwEnkbii8&h=AT2rd2yMrqzXHRS3-Ln_jyaapnik3SR3kdKUr480_smh7K8_awZ1JEE8UB4EaEPjpZfAH3h1rzNdRu3ipxqC9Z3E50FNT_Yo3xC9vnLkQ7YMILhPRWSNRwV3tldrbg5Y1niU&__tn__=H-R&c[0]=AT25xxqV5IOEjv2WFmFzH0k1oNyL1fzioraAFP6xRXaHIrcnfFOq8dnbJ0n8LmIzOrEiWAdT9Eh18X-FbZ2uIMLg4spXX51_PgMPMdtKYya85HNOfrIYNTtmnBQEuP5c0IyvDCtMC9WIoERypOqetGDdfvnSYBzGfHf3pTIrLXvSCG3P
tdpnesrooSl25ca2hrgFgrau993e 1c07abuyt47f1," Smooth user experience  Ethical, sustainable products Trust in the company One-click transactions… See more",104,2 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/274713197_10166020419885374_4212246583722832661_n.png?stp=dst-png_s960x960&_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=KDeOFbpRjJMAX_1puCc&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_2-XwDlIsIWrNw_JDaCMAf3-zFC49V65NQaTSjkkLLtA&oe=626DB691,none
tdpnesrooSl25ca2hrgFgrau993e 1c07abuyt37f1,"With our #CloudFirst solutions, you get to value faster. What will you uncover with the #cloud? https://accntu.re/3p5ZN0y",,37 Shares,none,none,none
estSorpodnaihe0h1t8hy62bu56rha2 m2t4l2rh1F, Operating sustainably and equitably is not an option—it’s a business imperative. Build #sustainability into the DNA of your organization to shape change.  https://accntu.re/3HSv921,115,3 Comments,1 Share,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/274639069_10166015081385374_5919322208660680584_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=oyx8BfwSJ7EAX-rVQUV&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9Zd5T8nsbUCNoOYuovRQ6XT0PiYs4OJrTEkYz3dn0esw&oe=626E26E1,none
estSorpodnaihe0h1t8hy62bu56rha2 m2t4l1rh1F,"Virtual clinical trials are reimagining how drugs are brought to market—and catapulting science ahead much faster. The ""New Science"" episode of our #BuiltForChange podcast  has more: https://accntu.re/3gVq1OL",137,4 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/274595648_10166012178905374_1784686900038439776_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Fjj_EIVQiW0AX9ZoZO2&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8Vp0j0JPfhO_YsdJifCH6Z4Z6qA2sab121CMz7JSV8qA&oe=626D5DC2,none
estSorpodnaihe0h1t8hy62bu56rha2 m2t4l1rh1F,Climeworks empowers people to tackle climate change. We empower Climeworks to be more efficient. Here's how: https://accntu.re/3s0DOtS,,6 Shares,none,none,none
FptonoSerds1 72ulb0yu212hmtr800eir854a1ct6c,There are clear benefits to boosting your organization's operations maturity. Learn how applying a multiplier effect can speed up your progress. https://accntu.re/3GAXvMY,189,7 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/274245292_10166002683510374_4753702423698512460_n.jpg?stp=dst-jpg_s960x960&_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=DW9zfuV1zpQAX_khclC&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8XNAkCdNqQrxYyXOu3tJTpEfVgzZKCukJTXGFLAAF9vw&oe=626E70F1,none
FptonoSerds1 72ulb0yu212hmtr700eir854a1ct6c,"Virtual clinical trials are reimagining how drugs are brought to market—and catapulting science ahead much faster. The ""New Science"" episode of our #BuiltForChange podcast  has more: https://accntu.re/3BclC3r",146,none,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/273984997_10166000000260374_817534926719060957_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=wZoGGsPEbykAX-eR1uI&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9K4VCGSHdMFmJ3cVgoH-C8f4eUkX3Imyn48PBkcad6Ng&oe=626DC8F6,none
FptonoSerds1 72ulb0yu212hmtr600eir854a1ct6c,"Responsible values  Sustainable outcomesRise to the challenge and make a lasting positive impact for people, society and the environment. https://accntu.re/3uMER2x #Sustainability",122,2 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/274167456_10165997004265374_396853158885285293_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=GCmdYfdHLQ4AX9jLD9f&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9mXaUD5OqxkGHKfryVAUnGCg9rAQfOz__C0Dq9i2r4Hg&oe=626E5679,none
